refdes,pin,voltage,current
J1,1,11.9928,7.18627
J1,2,0.0,-7.18627
J2,2,11.7603,-5.99999
J2,1,0.0016871,5.99999
IC3,pdna_pin_D_1,11.8633,-0.296489
IC3,pdna_pin_D_2,11.8633,-0.296485
IC3,pdna_pin_D_3,11.8655,-0.296652
IC3,pdna_pin_D_4,11.8654,-0.296647
IC3,pdna_pin_S_1,0.00172033,0.593134
IC3,pdna_pin_S_2,0.00167933,0.593137
IC2,pdna_pin_S_1,11.9363,-3.63572
IC2,pdna_pin_S_2,11.9352,-3.55054
IC2,pdna_pin_D_1,11.8668,1.85191
IC2,pdna_pin_D_2,11.8672,1.82078
IC2,pdna_pin_D_3,11.8682,1.7414
IC2,pdna_pin_D_4,11.8678,1.77217
L1,1,11.8555,-6.0
L1,2,11.7685,6.0
